evaluation,PRS_median,ERS_median
1,0.147742,0.147742
101,0.094103,0.053074
201,0.086198,0.046675
301,0.083187,0.045922
401,0.081493,0.043287
501,0.078858,0.043287
601,0.078482,0.042723
701,0.077164,0.042535
801,0.075847,0.04197
901,0.075659,0.04197
1001,0.073777,0.04197
1101,0.073777,0.04197
1201,0.073212,0.04197
1301,0.073212,0.04197
1401,0.073212,0.04197
1501,0.073212,0.04197
1601,0.073212,0.04197
1701,0.073024,0.04197
1801,0.073024,0.04197
1901,0.073024,0.04197
2001,0.072083,0.04197
2101,0.072083,0.04197
2201,0.072083,0.04197
2301,0.071895,0.04197
2401,0.071142,0.04197
2501,0.070389,0.04197
2601,0.070389,0.04197
2701,0.070389,0.04197
2801,0.069636,0.04197
2901,0.069636,0.04197
3001,0.069636,0.04197
3101,0.069636,0.04197
3201,0.069636,0.04197
3301,0.069636,0.04197
3401,0.069636,0.04197
3501,0.069636,0.04197
3601,0.069636,0.04197
3701,0.069636,0.04197
3801,0.069448,0.04197
3901,0.069448,0.04197
4001,0.069448,0.04197
4101,0.069448,0.04197
4201,0.069448,0.04197
4301,0.069448,0.04197
4401,0.06926,0.04197
4501,0.06926,0.04197
4601,0.06926,0.04197
4701,0.06926,0.04197
4801,0.06926,0.04197
4901,0.068319,0.04197
5001,0.06813,0.04197
5101,0.06813,0.04197
5201,0.06813,0.04197
5301,0.06813,0.04197
5401,0.06813,0.04197
5501,0.067378,0.04197
5601,0.067378,0.04197
5701,0.067378,0.04197
5801,0.067378,0.04197
5901,0.067378,0.04197
6001,0.067378,0.04197
6101,0.067378,0.04197
6201,0.067189,0.04197
6301,0.067189,0.04197
6401,0.067189,0.04197
6501,0.066248,0.04197
6601,0.066248,0.04197
6701,0.066248,0.04197
6801,0.066248,0.04197
6901,0.066248,0.04197
7001,0.066248,0.04197
7101,0.065872,0.04197
7201,0.065872,0.04197
7301,0.065872,0.04197
7401,0.065872,0.04197
7501,0.065872,0.04197
7601,0.065872,0.04197
7701,0.065872,0.04197
7801,0.065684,0.04197
7901,0.065684,0.04197
8001,0.065307,0.04197
8101,0.065307,0.04197
8201,0.065307,0.04197
8301,0.065307,0.04197
8401,0.065307,0.04197
8501,0.065307,0.04197
8601,0.065307,0.04197
8701,0.065307,0.04197
8801,0.065307,0.04197
8901,0.064743,0.04197
9001,0.064743,0.04197
9101,0.064555,0.04197
9201,0.064555,0.04197
9301,0.064555,0.04197
9401,0.064555,0.04197
9501,0.064555,0.04197
9601,0.064555,0.04197
9701,0.064555,0.04197
9801,0.064555,0.04197
9901,0.064555,0.04197
10000,0.064555,0.04197
